USDOT,Company Name,Operating status,DBA,Entity type,Operations,Classification,Docket #,DUNS #,SCAC,MCS-150 form date,MCS-150 Mileage/Year,Business address,Phone,Fax,Email,Web,Mailing address,Representative,Power units,Autonomous units,Electric units,Drivers,SmartWay,CARB TRU
384531,ATLANTA JOURNAL CONSTITUTION,ACTIVE,,Carrier,Intrastate Non-Hazmat,Private Property,,188692289,,,0 (),"72 MARIETTA ST ATLANTA, GA 30302",(404) 526-5541,,,,"P O BOX 4689 ATLANTA, GA 30302",,101,,,,Not a,Not 100% compliant
429413,ACE ASPHALT OF ARIZONA INC,ACTIVE,,Carrier,Interstate,Private Property,,52722196,,04/23/2020,"1,515,000 (2020)","3030 S 7TH STREET PHOENIX, AZ 85040",,(602) 304-4092,killoughk@aceasphalt.com,aceasphalt.com,"3030 S 7TH STREET PHOENIX, AZ 85040",KEITH KILLOUGH,101,,,115,Not a,Not 100% compliant
459728,AETNA FREIGHT LINES INC,AUTHORIZED FOR PROPERTY,,Carrier Broker,Interstate,Authorized For Hire,MC200014,412,,04/09/2020,"6,603,226 (2018)","100 INDUSTRY DRIVE PITTSBURGH, PA 15275",(412) 490-6040,(412) 490-6154,aetnamgmt@thetii.com,www.thetii.com,"100 INDUSTRY DRIVE PITTSBURGH, PA 15275",JEFFREY KOLLAR RONALD B CARLSON,101,,,101,Not a,Not 100% compliant
465761,SHENANDOAH VALLEY ELECTRIC COOPERATIVE,ACTIVE,,Carrier,Intrastate Non-Hazmat,Private Property,,,,01/30/2012,"1,267,110 (2010)","147 DINKLE AVENUE MOUNT CRAWFORD, VA 22841-0236",(540) 434-2200,(540) 574-7201,,,"PO BOX 236 MOUNT CRAWFORD, VA 22841-0236",MYRON D RUMMEL ALLEN R RITCHIE,101,,,209,Not a,Not 100% compliant
490092,NYSARC ORANGE COUNTY CHAPTER,ACTIVE,THE ARC OF ORANGE COUNTY,Carrier,Intrastate Non-Hazmat,Exempt For Hire Private Property,,29244852,,03/21/2017,"1,581,709 (2006)","249 BROADWAY NEWBRUGH, NY 12550",(845) 561-0670,(845) 343-6591,james.cappadora@thearcoforange.org,,"249 BROADWAY NEWBRUGH, NY 12550",GARY FOX FRED COOK,101,,,10,Not a,Not 100% compliant
605338,SERVICE SANITATION INC,ACTIVE,,Carrier,Interstate,Private Property,,,,04/28/2020,"1,454,089 (2014)","135 BLAINE STREET GARY, IN 46406",(219) 949-7000,(219) 949-6758,emily@servicesanitation.com,,"135 BLAINE STREET GARY, IN 46406",EMILY CONNER,101,,,100,Not a,Not 100% compliant
754074,K-VA-T FOOD STORES INC,AUTHORIZED FOR PROPERTY,FOOD CITY,Carrier,Interstate,Authorized For Hire Private Property,MC649757,,,04/03/2020,"10,678,732 (2018)","26331 HILLMAN HIGHWAY ABINGDON, VA 24210",(276) 623-5000,(276) 623-5409,campbellt@foodcity.com,www.foodcity.com,"P O BOX 129 ABINGDON, VA 24210",STEVEN C SMITH GREG SPARKS,101,,,186,Not a,Not 100% compliant
778718,FRONTIER TANK LINES INC,AUTHORIZED FOR PROPERTY,,Carrier,Interstate,Authorized For Hire Private Property,MC353302,,,11/13/2019,"7,320,570 (2018)","6850 TPC DR STE 200 MCKINNEY, TX 75070",(972) 671-3110,,bdawson@frontiertanklines.com,,"6850 TPC DR STE 200 MCKINNEY, TX 75070",BRAD DAWSON MICHAEL COLLINS,101,,,143,Not a,Not 100% compliant
806375,SINGLETARY CONCRETE PRODUCTS,ACTIVE,RMC SOUTH FLORIDA INC AND CEMEX,Carrier,Intrastate Non-Hazmat,Private Property,,004100509,,05/11/2005,,"5505 MCINTOSH ROAD SARASOTA, FL 34233",(941) 378-8800,,,,"59 SARASOTA CENTER BLVD SARASOTA, FL 34240",MIKE HARMON,101,,,100,Not a,Not 100% compliant
810111,LEE JENNINGS TARGET EXPRESS INC,AUTHORIZED FOR PROPERTY,,Carrier,Interstate,Authorized For Hire,MC360298,184755338,,01/06/2020,"4,332,442 (2019)","1465 FRANKLIN AVENUE POMONA, CA 91766",(909) 868-1040,(909) 865-1405,gcampbell@ljetarget.com,www.ljetarget.com,"1465 FRANKLIN AVENUE POMONA, CA 91766",MARY ANNA JENNINGS LACEY KEEGAN,101,,,84,Not a,Not 100% compliant
828780,JOHN LECKIE INC,ACTIVE,,Carrier,Interstate,Exempt For Hire,,,,10/03/2018,"2,166,597 (2017)","395 SOUTH RIVER STREET HACKENSACK, NJ 07601",(201) 440-5190,(201) 440-5827,leckiebuscorp@yahoo.com,,"348 RAILROAD AVE HACKENSACK, NJ 07601",TIM LECKIE ROBERT LECKIE,101,,,75,Not a,Not 100% compliant
852474,MCL MCGILL CARRIERS LTD,AUTHORIZED FOR PROPERTY,,Carrier,Interstate,Authorized For Hire,MC378123,202376476,,05/27/2020,"8,263,231 (2019)","827 BELGRAVE WAY DELTA, BC V3M 5R8",(604) 526-6560,(604) 526-6576,marlene@mclmcgill.com,www.mclmcgill.com,"827 BELGRAVE WAY DELTA, BC V3M 5R8",JOHN JANSEN,101,,,99,,Not 100% compliant
913721,FOWLER TRIO LLC,ACTIVE,ALL AMERICAN ADVENTURES AND TOURS,Carrier,Intrastate Non-Hazmat,Private Passengers (Business) Private Passengers (Non-business),,27407258,,01/02/2020,"3,500,000 (2019)","1315 MARLBORO ROAD LOTHIAN, MD 20711-9541",(301) 574-1900,(301) 952-1280,jim.pixton@aaatransport.net,,"1315 MARLBORO ROAD LOTHIAN, MD 20711",JAMES S FOWLER III,101,,,100,Not a,Not 100% compliant
106927,"RED BALL EXPRESS, INC.",NONE,,,,,MC85504,,,,,370 WEST FIRST STREET SO BOSTON MA 02127,,,,,,,,,,,Not a,Not 100% compliant
113688,WEISS TRANSPORTATION COMPANY,NONE,,,,,MC23196,,,,,4250 WISSAHICKON AVE PHILADELPHIA PA 19129,,,,,,,,,,,Not a,Not 100% compliant
154587,MILLER SUPPLY CORP.,NONE,,,,,MC136321,,,,,151 SOUTH FULTON AVE. WHITE PLAINS NY 10606,,,,,,,,,,,Not a,Not 100% compliant
159958,TOM BARGEN INC,ACTIVE,,Carrier,Interstate,Exempt For Hire Private Property,,102309705,,07/16/2019,"7,100 (2018)","1347 RD 4100 NORA, NE 68961",(402) 225-2164,,,,"1347 RD 4100 NORA, NE 68961",TOM BARGEN PAT BARGEN,1,,,2,Not a,Not 100% compliant
177250,"R. BECKER ENTERPRISES, INC.",NONE,,,,,MC171016,,,,,E 11980 COUNTY RD C CLINTONVILLE WI 54929,(715) 823-5426,,,,,,,,,,Not a,Not 100% compliant
193509,CANJO COMPANY,NONE,,,,,MC152850,,,,,6536 E. 42ND STREET TULSA OK 74145,,,,,,,,,,,Not a,Not 100% compliant
255740,REHBEIN TRANSIT INC.,NONE,,,,,MC517634,,,,,6298 HODGSON RD. LINO LAKES MN 55014,(651) 484-1809,,,,6298 HODGSON RD. LINO LAKES MN 55014,,,,,,Not a,Not 100% compliant
281039,KENNETH W. MUNSEY AND HELEN M. MUNSEY,NONE,K. W. & H. M. MUNSEY TRUCKING,,,,MC182021,,,,,2148 S. E. 186TH STREET PORTLAND OR 97233,(503) 666-3612,,,,,,,,,,Not a,Not 100% compliant
284786,"CATCO, INC.",NONE,,,,,MC197500,,,,,1124 COOLIDGE AVE NATIONAL CITY CA 92050,(619) 440-5400,,,,,,,,,,Not a,Not 100% compliant
360767,WOOLSTON CONSTRUCTION COMPANY INC,AUTHORIZED FOR PROPERTY,,Carrier,Interstate,Authorized For Hire Private Property,MC287019,188770093,,06/20/2018,"145,000 (2017)","83 OLD AMBOY RD BORDENTOWN, NJ 08505-0086",(609) 298-2243,(609) 298-0941,,,"PO BOX 86 BORDENTOWN, NJ 08505-0086",RITCHARD WOOLSTON DAVID WOOLSTON,14,,,3,Not a,Not 100% compliant
371910,NUTONE INC,ACTIVE,,Carrier Shipper,Intrastate Non-Hazmat,Private Property,,615232436,,10/09/2003,,"4820 RED BANK ROAD CINCINNATI, OH 45227",(513) 527-5477,(513) 527-5440,mtully@nutone.com,,"4820 RED BANK ROAD CINCINNATI, OH 45227",,1,,,2,Not a,Not 100% compliant
373311,TECHNICRETE CORPORATION,ACTIVE,,Carrier,Intrastate Non-Hazmat,Private Property,,610207466,,02/19/2019,"6,560 (2019)","9305 LESAINT DRIVE FAIRFIELD, OH 45014-4234",(513) 870-9249,(513) 870-9312,g.shields@omnifp.com,,"9305 LESAINT DRIVE FAIRFIELD, OH 45014-4234",GREGORY SHIELDS THOMAS HOCKHAUSLER,2,,,2,Not a,Not 100% compliant
379650,B F ORANGE,ACTIVE,BATTLEFIELD FARMS INC,Carrier,Interstate,Private Property,,192177335,,08/15/2019,"2,274 (2018)","23190 CLARKS MOUNTAIN RD RAPIDAN, VA 22733-9011",(540) 854-6485,(540) 854-6486,ksnow@battlefieldfarms.com,,"23190 CLARKS MOUNTAIN RD RAPIDAN, VA 22733-9011",KIMBERLY ANN SNOW BOBBY VAN HOVEN,3,,,1,Not a,Not 100% compliant
387741,AIR POWER INC,ACTIVE,,Carrier Shipper,Interstate,Private Property,,46728796,,01/07/2020,"120,000 (2019)","43694 JOHN MOSBY HIGHWAY CHANTILLY, VA 20152-1356",(703) 471-4071,(703) 471-4074,mfarah72@gmail.com,,"PO BOX 220098 CHANTILLY, VA 20153",MICHAEL FARAH,11,,,6,Not a,Not 100% compliant
20622,NOCO ENERGY CORP,AUTHORIZED FOR PROPERTY,,Carrier Cargo Tank,Interstate,Authorized For Hire Private Property,MC241370,13293519,,01/15/2020,"2,983,345 (2019)","2440 SHERIDAN DR TONAWANDA, NY 14150",(716) 614-1275,(716) 874-0773,hrussell@noco.com,,"2440 SHERIDAN DR TONAWANDA, NY 14150",JAMES D NEWMAN,102,,,91,Not a,Not 100% compliant
38027,EAST PENN MANUFACTURING CO INC,ACTIVE,,Carrier Shipper,Interstate,Private Property,,2330165,,09/06/2019,"3,895,033 (2018)","102 DEKA ROAD LYON STATION, PA 19536",,(610) 682-4781,jcornelius@dekabatteries.com,www.dekabatteries.com,"P O BOX 147 LYON STATION, PA 19536",ROBERT P. FLICKER CHRISTOPHER E. PRUITT,102,,,200,Not a,Not 100% compliant
45266,W W CLYDE & CO,ACTIVE,,Carrier,Interstate,Private Property,,7939424,,02/21/2020,"1,380,400 (2019)","869 NORTH 1500 WEST OREM, UT 84057",,(801) 802-0733,emeyer@clydeinc.com,HTTP://WWW.WWCLYDE.NET,"P O BOX 350 SPRINGVILLE, UT 84663-0350",A RAY GAMMELL DUSTIN OLSON,102,,,51,Not a,Not 100% compliant
74608,SOUTHERN CAL TRANSPORT CO,AUTHORIZED FOR PROPERTY,,Carrier,Interstate,Authorized For Hire,MC139233,103017158,,06/10/2020,"1,565,647 (2019)","15570 S W JENKINS RD BEAVERTON, OR 97006",(503) 277-5647,(503) 469-6312,gailyng@resers.com,,"P O BOX 8 BEAVERTON, OR 97075",PETE SHEPARD,102,,,105,Not a,Not 100% compliant
76720,CHICAGO BAKING COMPANY,ACTIVE,,Carrier,Interstate,Private Property,,964421952,,10/08/2018,"1,797,038 (2017)","1415 WEST 22ND STREET TOWER FLOOR OAK BROOK, IL 60523",(630) 684-2335,(630) 684-2337,brenock@lewisbakeries.com,,"500 N FULTON AVENUE EVANSVILLE, IN 47710-1571","R. JACK LEWIS, JR. JEFF SANKOVITCH",102,,,141,Not a,Not 100% compliant
123322,MAYMEAD INC,ACTIVE,,Carrier,Interstate,Private Property,,,,03/24/2020,"2,040,000 (2019)","1995 ROAN CREEK ROAD MOUNTAIN CITY, TN 37683",(423) 727-2000,(423) 727-2025,amy@maymead.com,,"P O BOX 911 MOUNTAIN CITY, TN 37683-9111",W.B. ROARK THOMAS G. PURPUR,102,,,73,Not a,Not 100% compliant
196338,NATIONWIDE EXPRESS INC,AUTHORIZED FOR PROPERTY,,Carrier,Interstate,Authorized For Hire,MC150993,55892863,,11/19/2020,"6,950,312 (2019)","1211 EAST LANE ST SHELBYVILLE, TN 37160",(931) 680-2419,(931) 680-5935,tedelstein@nationwide-express.com,www.nationwide-express.com,"PO BOX 1800 SHELBYVILLE, TN 37162",DAVID COFFEY MIKE COFFEY,102,,,107,,Not 100% compliant
207838,EMPIRE DISTRIBUTORS INC,ACTIVE,,Carrier,Interstate,Private Property,,8847030,,06/03/2020,"3,075,970 (2019)","685 HARTMAN ROAD AUSTELL, GA 30168",(404) 572-4110,(404) 346-4639,rmuhammad@empiredist.com,,"685 HARTMAN ROAD AUSTELL, GA 30168",DAVID KAHN,102,,,103,Not a,Not 100% compliant
249988,ARGUINDEGUI OIL COMPANY II LTD,AUTHORIZED FOR PROPERTY,,Carrier,Interstate,Authorized For Hire Private Property,MC932338,26732255,,01/14/2020,"3,524,327 (2019)","6551 STAR COURT LAREDO, TX 78041",(956) 722-5251,(956) 615-8895,carlos.perez@argpetro.com,www.argpetro.com,"P O BOX 1367 LAREDO, TX 78042",CARLOS PEREZ CARLOS H ARGUINDEGUI JR,102,,,73,Not a,Not 100% compliant
269486,PAUL MILLER TRUCKING INC,AUTHORIZED FOR PROPERTY,,Carrier,Interstate,Authorized For Hire,MC170976,,,03/12/2021,"9,424,032 (2019)","451 FREIGHT STREET CAMP HILL, PA 17011",(717) 225-5787,(717) 839-5108,kstine@paulmillertrucking.com,www.paulmillertrucking.com,"PO BOX 3535 SHIREMANSTOWN, PA 17011",PAUL MILLER JR KIMBERLY A STINE,102,,,99,Not a,Not 100% compliant
275733,WOOD FRUITTICHER GROCERY COMPANY INC,AUTHORIZED FOR PROPERTY,,Carrier Shipper,Interstate,Authorized For Hire Private Property,MC643371,7960529,,01/07/2019,"5,722,553 (2018)","2900 ALTON RD IRONDALE, AL 35210",(205) 838-0789,(205) 838-0670,jgipson@woodfruitticher.com,www.woodfruitticher.com,"2900 ALTON RD IRONDALE, AL 35210",FORD HAMILTON,102,,,122,Not a,Not 100% compliant
301681,MIDDLESEX CORPORATION THE,ACTIVE,,Carrier,Interstate,Private Property,,57826547,,01/21/2020,"371,000 (2019)","ONE SPECTACLE POND ROAD LITTLETON, MA 01460",(978) 742-4400,(978) 742-4455,mclericuzio@middlesexco.com,,"ONE SPECTACLE POND ROAD LITTLETON, MA 01460",ALFRED APONAS PETER MARTINKUS,102,,,121,Not a,Not 100% compliant
328429,KERNS TRUCKING INC,AUTHORIZED FOR PROPERTY,,Carrier,Interstate,Authorized For Hire Exempt For Hire,MC111268,53013306,,03/30/2020,"4,874,160 (2019)","703 S BATTLEGROUND AVE GROVER, NC 28073",(704) 739-4747,(704) 739-9657,patty@kernstrucking.com,,"P O BOX 279 KINGS MOUNTAIN, NC 28086",CLYDE KERNS ALYSON K GRAY,102,,,100,Not a,Not 100% compliant
328883,G & C FOOD DISTRIBUTORS & BROKERS INC,AUTHORIZED FOR PROPERTY,,Carrier,Interstate,Authorized For Hire Private Property,MC307778,70850607,,06/10/2020,"9,145,700 (2019)","3407 WALTERS ROAD SYRACUSE, NY 13209",(315) 422-3191,(315) 422-1220,dwalsh@gcfoods.com,,"PO BOX 19000 SYRACUSE, NY 13209",KIP PALMER RICH CHAPMAN,102,,,98,,Not 100% compliant
338614,SYSCO CHARLOTTE LLC,AUTHORIZED FOR PROPERTY,SYSCO FOODS,Carrier,Interstate,Authorized For Hire Private Property,MC1099729,24414716,,04/29/2019,"3,120,000 (2018)","4500 CORPORATE DRIVE NW CONCORD, NC 28027",(704) 723-6070,(185) 568-83729,farley.rick@cha.sysco.com,,"4500 CORPORATE DRIVE NW CONCORD, NC 28027",JOHN MCINTYRE RICK FARLEY,102,,,135,Not a,Not 100% compliant
348027,UTILITY CONTRACTING CO,ACTIVE,,Carrier,Intrastate Non-Hazmat,Private Property,,72597297,,02/18/2020,"1,242,806 (2019)","1001 12 MILE RD NW SPARTA, MI 49345-9466",(616) 887-8282,(616) 887-9214,gritzenhein@utility-contracting.com,,"P O BOX 46 SPARTA, MI 49345-0046",JAMES PATTERSON,102,,,110,Not a,Not 100% compliant
362221,LTM INCORPORATED,ACTIVE,KNIFE RIVER MATERIALS,Carrier,Interstate,Exempt For Hire,,82619222,,01/09/2020,"1,594,000 (2015)","3959 HAMRICK RD CENTRAL POINT, OR 97502-2810",(541) 732-2742,(541) 779-9932,,www.kniferiver.com,"P O BOX 1145 MEDFORD, OR 97501-0231",JOEL FRASIEUR,102,,,108,Not a,Not 100% compliant
375481,TRANSPORT CONTINENTAL INC,AUTHORIZED FOR PROPERTY,,Carrier,Interstate,Authorized For Hire,MC225273,,,05/08/2020,"11,139,216 (2019)","601 E FERGUSON PHARR, TX 78577",(800) 444-7695,(956) 781-6691,lcoronado@trans-con.com,www.trans-con.com,"PO BOX 609 PHARR, TX 78577",LEE CORONADO WILLIAM L COWART,102,,,102,,Not 100% compliant
408351,BATTELLE ENERGY ALLIANCE LLC,ACTIVE,,Carrier Shipper,Intrastate Hazmat,Private Property Private Passengers (Business),,152020629,,01/29/2020,"2,600,000 (2019)","1955 N FREMONT AVE IDAHO FALLS, ID 83415",,(208) 526-2764,donald.darrington@inl.gov,www.inl.gov,"P O BOX 1625 MS-3780 IDAHO FALLS, ID 83415-3780",MARK T PETERS,102,,,137,Not a,Not 100% compliant
430808,INTERNATIONAL MOTOR FREIGHT INC,AUTHORIZED FOR PROPERTY,,Carrier,Interstate,Authorized For Hire,MC212742,199966094,,08/09/2019,"3,158,988 (2018)","318 PORT STREET PORT NEWARK, NJ 07114-3214",(973) 589-4001,(973) 465-0465,safety@imfnj.com,www.imfnj.com,"318 PORT STREET PORT NEWARK, NJ 07114-3214",LOUIS GRATO WILLIAM GRATO,102,,,102,,Not 100% compliant
456043,KEYSTONE WESTERN INC,AUTHORIZED FOR PROPERTY,,Carrier Broker,Interstate,Authorized For Hire Exempt For Hire,MC221116,,,04/03/2020,"14,841,824 (2019)","594 BERNAT RD & HWY 59 GRANDE POINT, MB R5A 1H5",(204) 256-0800,(204) 256-9527,billf@keystonewestern.com,,"BOX 460 ILE DES CHENES, MB R0A 0T0",NORMAN CURTIS BILL FRIESEN,102,,,105,Not a,Not 100% compliant
466452,RJW TRANSPORT LLC,AUTHORIZED FOR PROPERTY,,Carrier,Interstate,Authorized For Hire,MC239218,,,01/29/2020,"6,570,598 (2019)","11240 KATHERINES CROSSING SUITE 400 WOODRIDGE, IL 60517",(630) 424-2430,(630) 424-2230,rkalinoski@rjwgroup.com,,"11240 KATHERINES CROSSING SUITE 400 WOODRIDGE, IL 60517",KEVIN WILLIAMSON KRIS KARR,102,,,103,,Not 100% compliant
512549,SCHROEDER MOVING SYSTEMS OF MILWAUKEE INC,AUTHORIZED FOR PROPERTY,SCHROEDER MOVING SYSTEMS,Carrier,Interstate,Authorized For Hire,MC240916,608299020,,09/04/2018,"200,000 (2017)","15700 W LINCOLN AVE NEW BERLIN, WI 53151",(262) 784-1717,(262) 784-2616,planger@schroedermoving.com,,"15700 W LINCOLN AVE NEW BERLIN, WI 53151",JOHN SCHROEDER HECTOR LEON,102,,,42,Not a,Not 100% compliant
515711,WATKINS TRUCKING CO INC,AUTHORIZED FOR PROPERTY,,Carrier Broker,Interstate,Authorized For Hire,MC231446,,,05/14/2020,"9,350,422 (2019)","4712 RICHARD ARRINGTON JR BLVD N BIRMINGHAM, AL 35212",(205) 592-3422,(205) 595-7847,rarmstrong@watkinstrucking.com,,"P O BOX 320678 BIRMINGHAM, AL 35232",WAYNE WATKINS RANDALL P. WATKINS,102,,,100,Not a,Not 100% compliant
593383,SCALES EXPRESS INC,AUTHORIZED FOR PROPERTY,,Carrier,Interstate,Authorized For Hire,MC286906,,,03/30/2020,"12,312,510 (2019)","121 JORDAN ROAD TIFTON, GA 31793",(229) 386-8015,(229) 387-7304,brussell@scalesexpressinc.com,,"121 JORDAN ROAD TIFTON, GA 31793",LARRY SELLERS MIKE HUHGES,102,,,102,,Not 100% compliant
596451,FIRST PIEDMONT CORPORATION,ACTIVE,,Carrier,Interstate,Exempt For Hire Private Property,,,,01/04/2019,"2,273,838 (2018)","108 SOUTH MAIN STREET CHATHAM, VA 24531",(434) 432-0211,(434) 432-0278,awells@fpcwaste.com,,"PO BOX 1069 CHATHAM, VA 24531",TOMMY STUMP,102,,,75,Not a,Not 100% compliant
600614,HOOSIER TRANSIT INC,AUTHORIZED FOR PROPERTY,,Carrier,Interstate,Authorized For Hire,MC287659,,,04/23/2020,"10,105,103 (2019)","13820 N 700 W NAPPANEE, IN 46550",(888) 886-7290,(765) 847-5224,tomladd1@frontier.com,,"P O BOX 49 WEBSTER, IN 47392",THOMAS LADD,102,,,363,Not a,Not 100% compliant
602608,INDEPENDENCE EXCAVATING INC,ACTIVE,,Carrier,Interstate,Private Property,,,,11/15/2019,"4,488,000 (2018)","5720 SCHAAF ROAD INDEPENDENCE, OH 44131",,(216) 524-1703,,,"5720 SCHAAF ROAD INDEPENDENCE, OH 44131",VIC DIGERONIMO STEPHANIE MRAZ,102,,,53,Not a,Not 100% compliant
625861,US AIR CONDITIONING DISTRIBUTORS LLC,ACTIVE,,Carrier,Interstate,Private Property,,,,02/22/2019,"1,089,136 (2014)","16900 CHESTNUT STREET CITY OF INDUSTRY, CA 91748",(626) 854-4507,(626) 854-6840,jack.scarsi@us-ac.com,,"16900 CHESTNUT STREET CITY OF INDUSTRY, CA 91748",JACK SCARSI JACK SCARSI,102,,,20,Not a,Not 100% compliant
643906,SOUTHWESTERN TRUCKING INC,NOT AUTHORIZED,,Carrier,Interstate,Authorized For Hire,MC245885,,,10/30/2019,"1,690,000 (2018)","850 EVEREE INN ROAD GRIFFIN, GA 30224",(770) 504-1955,(770) 504-1966,kathy@southwesterntrucking.com,,"PO BOX 117 GRIFFIN, GA 30224",ROBERT A HINKLE II,102,,,45,Not a,Not 100% compliant
