USDOT,Company Name,Operating status,DBA,Entity type,Operations,Classification,Docket #,DUNS #,SCAC,MCS-150 form date,MCS-150 Mileage/Year,Business address,Phone,Fax,Email,Web,Mailing address,Representative,Power units,Autonomous units,Electric units,Drivers,SmartWay,CARB TRU
26692,GLACIER PARK INC,AUTHORIZED FOR PASSENGER,,Carrier,Interstate,Authorized For Hire Private Property Private Passengers (Business),MC367978,54331483,,02/26/2020,"150,000 (2019)","1 MIDVALE RD EAST GLACIER PARK, MT 59434",(406) 226-5675,(406) 892-6744,lwyrick@glacierparkinc.com,,"PO BOX 147 EAST GLACIER, MT 59434",RONALD CADRETTE,11,,,6,Not a,Not 100% compliant
28265,GORMAN & PHILLIPS CONSTRUCTION CO,ACTIVE,,Carrier,Interstate,Private Property,,41368846,,01/30/2020,"251,414 (2019)","1321 NE 14TH AVENUE PERRYTON, TX 79070",(806) 435-2425,(806) 435-7086,gpgorman@ptsi.net,,"P O BOX 710 PERRYTON, TX 79070-0710",JUDITH A GORMAN TODD GORMAN,11,,,4,Not a,Not 100% compliant
28624,TWIN CITY FOODS INC,ACTIVE,,Carrier Shipper,Interstate,Private Property,,9252347,,03/27/2020,"214,897 (2019)","10120 269TH NW STANWOOD, WA 98292",(206) 515-2400,(206) 515-2499,mikek@twincityfoods.com,www.twincityfoods.com,"PO BOX 699 STANWOOD, WA 98292",MICHAEL J KERLEY,11,,,7,Not a,Not 100% compliant
29975,NEVADA CEMENT COMPANY LLC,ACTIVE,,Carrier,Intrastate Non-Hazmat,Private Property,,44285260,,01/16/2020,"300,000 (2019)","1290 W MAIN STREET FERNLEY, NV 89408-0840",(775) 575-2281,(775) 575-4387,mccs2012@charter.net,,"1290 W MAIN STREET FERNLEY, NV 89408-0840",BEN BUFMACK MARK KNODELL,11,,,10,Not a,Not 100% compliant
31454,J C PENNEY CO INC,ACTIVE,,Carrier,Intrastate Non-Hazmat,Private Property,,102063521,,12/08/2017,"5,000 (2017)","6501 LEGACY DRIVE PLANO, TX 75024-9818",(972) 431-2405,,dtayl7@jcp.com,,"6501 LEGACY DRIVE PLANO, TX 75024-9818",DAVID P TAYLOR,11,,,14,Not a,Not 100% compliant
32354,MIDLAND IMPLEMENT CO INC,AUTHORIZED FOR PROPERTY,,Carrier,Interstate,Authorized For Hire Private Property,MC929514,8909459,,08/05/2019,"65,000 (2018)","402 DANIELS ST BILLINGS, MT 59101-3217",(406) 248-7771,(406) 252-5772,rpates@midlandimplement.com,,"PO BOX 30358 BILLINGS, MT 59107-0358",GARY PATES RANDALL PATES,11,,,11,Not a,Not 100% compliant
32446,THE GREAT LAKES CONSTRUCTION CO,ACTIVE,,Carrier,Interstate,Private Property,,17761115,,07/24/2018,"108,000 (2017)","2608 GREAT LAKES WAY HINCKLEY, OH 44233-9590",(330) 220-3900,(330) 220-3923,bhocevar@greatlakesway.com,www.GreatLakesWay.com,"2608 GREAT LAKES WAY HINCKLEY, OH 44233-9590",WILLIAM J HOCEVAR,11,,,12,Not a,Not 100% compliant
32697,KEILHOLTZ TRUCKING SERVICE INC,AUTHORIZED FOR PROPERTY,,Carrier,Interstate,Authorized For Hire,MC571905,,,01/06/2020,"683,493 (2019)","300 EYLER ROAD THURMONT, MD 21788",(301) 271-2358,(301) 271-4546,kts2go@verizon.net,,"300 EYLER RD THURMONT, MD 21788",WILLIAM L KEILHOLTZ JR DONALD KEILHOLTZ,11,,,11,Not a,Not 100% compliant
33524,GRUBB LUMBER COMPANY INC,ACTIVE,,Carrier,Interstate,Private Property,,956663967,,03/09/2020,"583,000 (2019)","200 A STREET WILMINGTON, DE 19801-5221",(302) 652-2800,(302) 655-0295,azentz@grubblumber.com,,"P O BOX 627 WILMINGTON, DE 19899-0627",DAVID ARRONSON JEFFREY HAGGERTY,11,,,10,Not a,Not 100% compliant
33620,FRANK CLENDANIEL INC,ACTIVE,,Carrier,Intrastate Non-Hazmat,Private Property,,11012697,,10/20/2004,"5,000 (2003)","18854 BUTLER AVENUE LINCOLN, DE 19960-0145",(302) 422-4611,,,,"PO BOX 145 LINCOLN, DE 19960-0145",RICHARD M CLENDANIEL JR F BROOKE CLENDANIEL,11,,,2,Not a,Not 100% compliant
33820,POLYVISION CORPORTION,ACTIVE,,Carrier,Intrastate Non-Hazmat,Private Property,,618673073,,10/01/2008,,"2170 BARR SLOPE ROAD DIXONVILLE, PA 15734",(724) 254-8510,(678) 542-3386,mirwin@polyvision.com,,"2170 BARR SLOPE ROAD DIXONVILLE, PA 15734",TOM JULOCK,11,,,19,Not a,Not 100% compliant
33933,AIRFREIGHT SPECIALS INC,AUTHORIZED FOR PROPERTY,,Carrier,Interstate,Authorized For Hire Private Property,MC849380,,,01/16/2019,"210,000 (2018)","134 RAILROAD STREET REVERE, MA 02151",(781) 284-6471,(781) 284-9802,airfreightspecials@verizon.net,,"PO BOX 484 BILLERICA, MA 01821",ROBERT CAIN PATRICK CAIN,11,,,9,Not a,Not 100% compliant
34396,A-JAY EXCAVATING INC,ACTIVE,,Carrier Shipper,Intrastate Hazmat,Authorized For Hire Private Property,,52267416,,06/25/2013,"151,444 (2012)","8315 MORRO ROAD - SUITE #102 ATASCADERO, CA 93422",(805) 466-0300,(805) 466-1259,terri@a-jay.com,,"P O BOX 554 ATASCADERO, CA 93423-0554",JOHN DALLAIRE,11,,,5,Not a,Not 100% compliant
34956,BEVEN HERRON INC,ACTIVE,,Carrier,Intrastate Non-Hazmat,Private Property,,,,12/02/2009,,"14511 INDUSTRY CIRCLE LA MIRADA, CA 90638",(714) 523-5870,(714) 523-5627,rollin@bevenherron.com,,"PO BOX 848 LA MIRADA, CA 90637",J D HERRON,11,,,7,Not a,Not 100% compliant
35139,LEE-THOMPSON-FAWCETT COMPANY,ACTIVE,BELL VIEW BRAND PRODUCTS,Carrier,Interstate,Private Property,,4335717,,01/08/2019,"498,000 (2018)","400 NORTH RAILROAD ST PENN, PA 15675",(412) 523-5406,,,,"P O BOX 358 PENN, PA 15675-0358",WILLIAM D. FAWCETT JR. STEVEN E. FAWCETT,11,,,8,Not a,Not 100% compliant
35627,M G M INDUSTRIES INC,AUTHORIZED FOR PROPERTY,,Carrier,Interstate,Authorized For Hire,MC674887,4416608,,12/12/2019,"2,249,870 (2018)","287 FREE HILL ROAD HENDERSONVILLE, TN 37075",(615) 824-6572,(615) 590-4019,tjelks@mgmindustries.com,,"287 FREE HILL ROAD HENDERSONVILLE, TN 37075",CALEB MORRIS TERRY JELKS,11,,,10,Not a,Not 100% compliant
36127,REILE'S TRANSFER & DELIVERY INC,AUTHORIZED FOR PROPERTY,,Carrier,Interstate,Authorized For Hire,MC109571,31821069,,08/28/2018,"656,621 (2017)","4007 33RD ST NW FARGO, ND 58106",(701) 232-5109,(701) 232-9378,wclemens@reiles.com,,"PO BOX 9161 FARGO, ND 58106",KEN REILE CHRIS BRUCKS,11,,,11,Not a,Not 100% compliant
36343,SANITARY MATTRESS COMPANY,AUTHORIZED FOR PROPERTY,,Carrier,Interstate,Authorized For Hire MATTRESS,MC651781,1963511,,03/12/2020,"1,000 (2019)","5808 BERRY BROOK HOUSTON, TX 77017",(713) 227-0121,,vmaggio@sleep-designs.com,,"PO BOX 12609 HOUSTON, TX 77217",STAN SCHNITZER STEPHEN SCHNITZER,11,,,18,Not a,Not 100% compliant
36848,JOE W MORGAN INC,ACTIVE,HENRY FLIGELTAUB CO,Carrier,Interstate,Private Property,,55007785,,05/26/2020,"190,000 (2015)","1719 WEST LOUISIANA STREET EVANSVILLE, IN 47710",(812) 423-6219,(812) 425-5140,alillich@fligeltaub.com,,"P O BOX 928 EVANSVILLE, IN 47706",DON MACLEOD BRANDON MORGAN,11,,,6,Not a,Not 100% compliant
37273,PATRICK CLINTON WALCHLI,ACTIVE,WALCHLI FARMS,Carrier,Interstate,Private Property,,,,03/08/2019,"30,000 (2012)","32697 E LOOP RD HERMISTON, OR 97838",(541) 567-4300,(541) 567-0160,walchlifarmsllc@gmail.com,,"32697 E LOOP RD HERMISTON, OR 97838",SHERRY WALCHLI SHERIE BRITT,11,,,8,Not a,Not 100% compliant
37690,THE JAMES WHITE CONSTRUCTION CO,AUTHORIZED FOR PROPERTY,,Carrier,Interstate,Authorized For Hire Private Property,MC39031,2862738,,06/18/2020,"65,000 (2019)","4156 FREEDOM WAY WEIRTON, WV 26062",(304) 748-8181,(304) 748-8183,dgianni@jameswhiteconstruction.com,,"4156 FREEDOM WAY WEIRTON, WV 26062",DONALD GIANNI JR,11,,,5,Not a,Not 100% compliant
38801,NEW BETHELEHEM BURIAL SERVICE INC,ACTIVE,,Carrier,Interstate,Private Property,,4317715,,01/02/2020,"88,541 (2018)","171 PHEASANT FARM ROAD DISTANT, PA 16223",(814) 275-3333,(814) 275-7553,nbburial@windstream.net,,"P O BOX 100 NEW BETHLEHEM, PA 16242",DEAN L. HETRICK CAROLYN A. HETRICK,11,,,11,Not a,Not 100% compliant
39685,MERSE BROTHERS TRUCKING INC,AUTHORIZED FOR PROPERTY,,Carrier,Interstate,Authorized For Hire,MC220130,48412068,,05/12/2020,"224,743 (2019)","31 EAST RAILWAY AVENUE PATERSON, NJ 07503",(973) 595-7106,(973) 595-7109,steve@mersebrothers.com,,"31 EAST RAILWAY AVENUE PATERSON, NJ 07503",STEVEN MERSE MICHAEL MERSE,11,,,9,Not a,Not 100% compliant
39998,WILLIN FARMS LLC,ACTIVE,,Carrier,Interstate,Private Property,,,,09/12/2019,"5,000 (2019)","2864 LONGACRE LANE SEAFORD, DE 19973",(302) 629-2520,(302) 628-0761,faithwillin@gmail.com,,"2864 LONGACRE LANE SEAFORD, DE 19973",RANDALL C WILLIN JR. JOHN C WILLIN,11,,,4,Not a,Not 100% compliant
40409,MICHEL LUSSIER TRANSPORT LTEE,AUTHORIZED FOR PROPERTY,,Carrier,Interstate,Authorized For Hire,MC167057,,,07/26/2018,"773,372 (2015)","110 RUE DE L'ISERE CANDIAC, PQ J5R 0M2",(450) 444-8871,(450) 444-8872,,,"110 RUE DE L'ISERE CANDIAC, PQ J5R 0M2",MICHEL LUSSIER ERICK LUSSIER,11,,,13,Not a,Not 100% compliant
40477,JOHNCOX TRUCKING INC,AUTHORIZED FOR PROPERTY,,Carrier,Interstate,Authorized For Hire,MC118377,155924749,,06/23/2020,"1,325,000 (2019)","5575 WOLCOTT DRIVE AVON, NY 14414",(800) 821-0089,(585) 226-6753,dsteen@johncoxtrucking.com,,"5575 WOLCOTT DRIVE AVON, NY 14414",DAVID STEEN,11,,,16,Not a,Not 100% compliant
42697,FILTERS SALES AND SERVICE INC,ACTIVE,,Carrier,Interstate,Private Property,,19206119,,05/08/2019,"326,000 (2016)","15 ADAMS ST BURLINGTON, MA 01803",(781) 272-0060,(718) 272-0227,rcoelho@filtersales.com,www.filtersales.com,"15 ADAMS ST BURLINGTON, MA 01803",ALAN OUELLET THOMAS E OUELLET,11,,,11,Not a,Not 100% compliant
43759,TREE TOP INC,ACTIVE,,Carrier,Interstate,Private Property,,9268319,,09/20/2019,"200,000 (2018)","220 E 2ND AVE SELAH, WA 98942-1408",(509) 697-7251,(509) 698-1463,colette.bariletti@treetop.com,,"P O BOX 248 SELAH, WA 98942-0248",TOM HURSON CRAIG GREEN,11,,,9,Not a,Not 100% compliant
44497,RIVER'S EDGE COOPERATIVE,ACTIVE,,Carrier,Interstate,Private Property,,109097600,,08/14/2019,"80,000 (2018)","1100 PIPESTONE AVE FLANDREAU, SD 57028-1440",,(605) 997-3789,rec2008@outlook.com,,"1100 PIPESTONE AVE FLANDREAU, SD 57028-1440",ROBERT J HOLMOE,11,,,5,Not a,Not 100% compliant
44601,SD MYERS LLC,ACTIVE,SDMYERS,Carrier,Interstate,Private Property,,80493693,,02/06/2020,"240,000 (2019)","180 SOUTH AVE TALLMADGE, OH 44278",(330) 634-2689,(330) 319-7591,legal@sdmyers.com,www.sdmyers.com,"180 SOUTH AVE TALLMADGE, OH 44278",SCOTT MYERS DALE BISSONETTE,11,,,20,Not a,Not 100% compliant
45796,VON'S UNITED BEVERAGE CO,ACTIVE,,Carrier,Intrastate Non-Hazmat,Private Property,,014264030,,09/13/2005,"87,000 (2004)","675 GALLERIA DR EXTENSION JOHNSTOWN, PA 15904-7119",(814) 535-7641,(814) 536-2450,dbarkley@vons-ub.com,,"675 GALLERIA DR EXTENSION JOHNSTOWN, PA 15904-7119",DANIEL R THOMPSON,11,,,11,Not a,Not 100% compliant
46055,SUPPLYONE WEYERS CAVE INC,ACTIVE,,Carrier,Interstate,Private Property,,54044912,,05/30/2019,"830,000 (2018)","90 PACKAGING DRIVE WEYERS CAVE, VA 24486",(540) 234-9292,(540) 234-9299,jcassell@supplyone.com,,"P O BOX 126 WEYERS CAVE, VA 24486-0126",NICKOLAS KOZEL,11,,,12,Not a,Not 100% compliant
46561,YERGES VAN LINERS INC,"AUTHORIZED FOR PROPERTY, HHG",,Carrier,Interstate,Authorized For Hire RENTAL COM,MC3116,6550784,,03/15/2019,"58,474 (2018)","1230 WHITEWATER AVE FORT ATKINSON, WI 53538-0339",(920) 563-5000,(920) 563-5096,yergesvl@yergesmoving.com,,"P O BOX 339 FORT ATKINSON, WI 53538-0339",EG BECKER KEVIN G BECKER,11,,,7,Not a,Not 100% compliant
51115,INLAND EMPIRE DRY WALL CO,ACTIVE,,Carrier,Interstate,Private Property,,27507680,,04/26/2019,"108,072 (2018)","5105 E RAILROAD AVE SPOKANE VALLEY, WA 99212-0931",(509) 534-0833,(509) 534-2402,inlanddrywall@att.net,www.inlandempiredrywall.com,"5105 E RAILROAD AVE SPOKANE VALLEY, WA 99212-0931",JEFF BRANSON,11,,,10,Not a,Not 100% compliant
52118,DALE WEAVER INC,ACTIVE,,Carrier,Interstate,Private Property,,36043529,,06/11/2019,"25,319 (2018)","1075 NORTH PANTHER BLVD POWELL, WY 82435",(307) 272-1035,(307) 754-2903,longmack@bresnan.net,,"4548 RANGEVIEW DR BILLINGS, MT 59106",MACK LONG MALCOLM D. LONG,11,,,11,Not a,Not 100% compliant
52838,ASPEN TRANSPORTATION SERVICE INC,AUTHORIZED FOR PROPERTY,,Carrier,Interstate,Authorized For Hire,MC61282,19375989,,06/12/2019,"230,000 (2014)","795 W BROADWAY GARDNER, MA 01440-2808",(978) 632-0194,(978) 632-0259,aspentransne@gmail.com,,"795 W BROADWAY GARDNER, MA 01440",JOHN A MANCA ANTONETTE GAUVIN,11,,,5,Not a,Not 100% compliant
53707,WHITE MOUNTAIN PASSENGER LINES INC,ACTIVE,,Carrier,Intrastate Non-Hazmat,Authorized For Hire,,9018938,,05/13/2019,"200,000 (2018)","6206 S RUSSELL RD GLOBE, AZ 85501",(928) 205-9282,(928) 537-1981,wmplaz@gmail.com,,"1620 N FAIRWAY DR SHOW LOW, AZ 85901",DIRK LEE,11,,,15,Not a,Not 100% compliant
54275,SIERRITA MINING & RANCHING CO,ACTIVE,,Carrier,Interstate,Private Property,,,,11/20/2019,"150,000 (2019)","9333 W WHITE HILLS LOOP SAHUARITA, AZ 85629-9311",(520) 625-1204,(520) 625-3234,smr@sierrita.com,,"HC 70 BOX 4260 SAHUARITA, AZ 85629-9311",LYNN C HARRIS LES C HARRIS,11,,,12,Not a,Not 100% compliant
