USDOT,MC,Carrier,Status,Operations,Hazmat
USDOT 15282,null,"OLUMS OF BINGHAMTON INCORPORATED VESTAL, NY (607) 729-5775", ACTIVE, Interstate, NO
USDOT 18148,null,"LICTUS KEYSTONE INC CLYMER, NY (716) 355-6363", ACTIVE, Interstate, NO
USDOT 18705,null,"PRODUITS DE CIMENT COUILLARD LTEE COATICOOK, PQ (819) 849-2778", ACTIVE, Interstate, NO
USDOT 19593,MC138715,"AMF TRUCKING AND WAREHOUSING INC (SEA JET TRUCKING & APA WAREHOUSES) EDISON, NJ (732) 541-4800", AUTHORIZED FOR PROPERTY, Interstate, NO
USDOT 19615,MC1305,"SELECTIVE TRANSPORTATION CORPORATION EDISON, NJ (732) 738-6900", AUTHORIZED FOR PROPERTY, Interstate, NO
USDOT 19631,null,"H L FUEL COMPANY INC WEST LEBANON, NY (518) 794-9066", ACTIVE, Interstate, NO
USDOT 20103,MC29592,"MEGABUS WEST LLC (MEGABUSCOM) ANAHEIM, CA (714) 507-3100", AUTHORIZED FOR PASSENGER, Interstate, NO
USDOT 20466,null,"MCLEAN THOMAS INC (MCLEAN-THOMAS INC) BUFFALO, NY (716) 852-2531", ACTIVE, Intrastate Non-Hazmat, NO
USDOT 21109,null,"GREGERSON SALVAGE INC WAUBAY, SD (605) 947-4888", ACTIVE, Interstate, NO
USDOT 21993,MC166016,"M P BARRETT TRUCKING INC PIERZ, MN (320) 468-2787", AUTHORIZED FOR PROPERTY, Interstate, NO
USDOT 22193,null,"DYNAMIC HOMES LLC DETROIT LAKES, MN (218) 847-2611", ACTIVE, Interstate, NO
USDOT 22621,null,"ROLLING ROCK BUILDING STONE INC BOYERTOWN, PA (610) 987-4042", ACTIVE, Interstate, NO
USDOT 26692,MC367978,"GLACIER PARK INC EAST GLACIER PARK, MT (406) 226-5675", AUTHORIZED FOR PASSENGER, Interstate, NO
USDOT 28265,null,"GORMAN & PHILLIPS CONSTRUCTION CO PERRYTON, TX (806) 435-2425", ACTIVE, Interstate, NO
USDOT 29975,null,"NEVADA CEMENT COMPANY LLC FERNLEY, NV (775) 575-2281", ACTIVE, Intrastate Non-Hazmat, NO
USDOT 31454,null,"J C PENNEY CO INC PLANO, TX (972) 431-2405", ACTIVE, Intrastate Non-Hazmat, NO
USDOT 32354,MC929514,"MIDLAND IMPLEMENT CO INC BILLINGS, MT (406) 248-7771", AUTHORIZED FOR PROPERTY, Interstate, NO
USDOT 32446,null,"THE GREAT LAKES CONSTRUCTION CO HINCKLEY, OH (330) 220-3900", ACTIVE, Interstate, NO
USDOT 32697,MC571905,"KEILHOLTZ TRUCKING SERVICE INC THURMONT, MD (301) 271-2358", AUTHORIZED FOR PROPERTY, Interstate, NO
USDOT 33524,null,"GRUBB LUMBER COMPANY INC WILMINGTON, DE (302) 652-2800", ACTIVE, Interstate, NO
USDOT 33620,null,"FRANK CLENDANIEL INC LINCOLN, DE (302) 422-4611", ACTIVE, Intrastate Non-Hazmat, NO
USDOT 33820,null,"POLYVISION CORPORTION DIXONVILLE, PA (724) 254-8510", ACTIVE, Intrastate Non-Hazmat, NO
USDOT 33933,MC849380,"AIRFREIGHT SPECIALS INC REVERE, MA (781) 284-6471", AUTHORIZED FOR PROPERTY, Interstate, NO
USDOT 34956,null,"BEVEN HERRON INC LA MIRADA, CA (714) 523-5870", ACTIVE, Intrastate Non-Hazmat, NO
USDOT 35139,null,"LEE-THOMPSON-FAWCETT COMPANY (BELL VIEW BRAND PRODUCTS) PENN, PA (412) 523-5406", ACTIVE, Interstate, NO
USDOT 35627,MC674887,"M G M INDUSTRIES INC HENDERSONVILLE, TN (615) 824-6572", AUTHORIZED FOR PROPERTY, Interstate, NO
USDOT 36127,MC109571,"REILE'S TRANSFER & DELIVERY INC FARGO, ND (701) 232-5109", AUTHORIZED FOR PROPERTY, Interstate, NO
USDOT 36343,MC651781,"SANITARY MATTRESS COMPANY HOUSTON, TX (713) 227-0121", AUTHORIZED FOR PROPERTY, Interstate, NO
USDOT 36848,null,"JOE W MORGAN INC (HENRY FLIGELTAUB CO) EVANSVILLE, IN (812) 423-6219", ACTIVE, Interstate, NO
